Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)"
September,2022,CPCL-TOTAL,961.61
September,2022,"BPCL-KOCHI, KERALA",1155.88
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62
September,2022,"ONGC TOTAL",1336.44
September,2022,"HPCL-VISAKH,ANDHRA PRADESH",814.04
September,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",1838.73
October,2022,BORL-BINA,705.16
October,2022,"HPCL-MUMBAI,MAHARASHTRA",761.39
October,2022,"RIL,JAMNAGAR,GUJARAT",2931.62
November,2022,"IOCL-PANIPAT, HARYANA",699.93
November,2022,"IOCL-GUWAHATI,ASSAM",89.34
November,2022,"IOCL TOTAL",5796.21
November,2022,"MRPL-MANGALORE,KARNATAKA",1461.60
November,2022,"HPCL-VISAKH,ANDHRA PRADESH",801.28
November,2022,"HMEL-GGSR, BATHINDA, PUNJAB",978.05
November,2022,"NEL-VADINAR,GUJARAT",25.55
November,2022,"GRAND TOTAL",19580.02
December,2022,"IOCL-HALDIA, WEST BENGAL",731.49
December,2022,"IOCL TOTAL",6161.15
December,2022,"BPCL-KOCHI, KERALA",1506.63
December,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05
December,2022,"RIL TOTAL",5307.90
January,2023,"IOCL-KOYALI, GUJARAT",1259.75
January,2023,"IOCL-HALDIA, WEST BENGAL",704.67
January,2023,"IOCL-DIGBOI,ASSAM",62.73
January,2023,"IOCL-BONGAIGAON,ASSAM",253.07
January,2023,"NRL-NUMALIGARH, ASSAM",284.05
January,2023,"GRAND TOTAL",22809.58
February,2023,"IOCL-MATHURA, UTTAR PRADESH",740.61
February,2023,"IOCL-PANIPAT, HARYANA",1208.35
February,2023,"BPCL-KOCHI, KERALA",1406.51
February,2023,"RIL,JAMNAGAR,GUJARAT",2575.91
February,2023,"NEL-VADINAR,GUJARAT",1568.22
March,2023,"IOCL-BONGAIGAON,ASSAM",257.73
March,2023,"BPCL-KOCHI, KERALA",1542.02
March,2023,BPCL-TOTAL,3636.00
March,2023,"NRL-NUMALIGARH, ASSAM",205.02
March,2023,"ONGC TOTAL",1507.19
March,2023,"HPCL-MUMBAI,MAHARASHTRA",873.83
March,2023,"HPCL-VISAKH,ANDHRA PRADESH",874.03
April,2021,BORL-BINA,648.00
April,2021,"NRL-NUMALIGARH, ASSAM",221.00
April,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
April,2021,"ONGC TOTAL",1107.00
April,2021,"HPCL-MUMBAI,MAHARASHTRA",41.00
April,2021,"RIL,JAMNAGAR,GUJARAT",2773.00
May,2021,"IOCL-KOYALI, GUJARAT",1042.00
May,2021,"IOCL-HALDIA, WEST BENGAL",624.00
May,2021,"IOCL-DIGBOI,ASSAM",61.00
May,2021,"BPCL-KOCHI, KERALA",910.00
May,2021,BORL-BINA,519.00
May,2021,"MRPL-MANGALORE,KARNATAKA",961.00
May,2021,"ONGC TOTAL",968.00
May,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00
June,2021,"BPCL-MUMBAI, MAHARASHTRA",1029.00
June,2021,"BPCL-KOCHI, KERALA",1016.00
June,2021,"MRPL-MANGALORE,KARNATAKA",1010.00
June,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1063.00
June,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2530.00
July,2021,"CPCL-MANALI, TAMILNADU",819.00
July,2021,BORL-BINA,623.00
July,2021,"RIL,JAMNAGAR,GUJARAT",2743.00
July,2021,"RIL TOTAL",5027.00
July,2021,"NEL-VADINAR,GUJARAT",1677.00
August,2021,"IOCL-MATHURA, UTTAR PRADESH",643.00
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286.00
August,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1112.00
September,2021,"IOCL-DIGBOI,ASSAM",60.00
September,2021,"IOCL-BONGAIGAON,ASSAM",219.00
September,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079.00
September,2021,"RIL,JAMNAGAR,GUJARAT",2841.00
September,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2361.00
October,2021,"IOCL-PANIPAT, HARYANA",1315.00
October,2021,"IOCL-PARADIP,ODISHA",877.00
October,2021,"CPCL-MANALI, TAMILNADU",500.00
October,2021,BPCL-TOTAL,3213.00
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535.00
October,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2644.00
November,2021,"IOCL-HALDIA, WEST BENGAL",708.00
November,2021,"IOCL-GUWAHATI,ASSAM",83.00
November,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
November,2021,"MRPL-MANGALORE,KARNATAKA",1468.00
December,2021,"IOCL-BARAUNI,BIHAR",602.00
December,2021,"IOCL-PANIPAT, HARYANA",1298.00
December,2021,"IOCL TOTAL",5905.00
December,2021,"CPCL-MANALI, TAMILNADU",840.00
December,2021,CPCL-TOTAL,840.00
December,2021,"MRPL-MANGALORE,KARNATAKA",1434.00
December,2021,"RIL,JAMNAGAR,GUJARAT",3019.00
December,2021,"NEL-VADINAR,GUJARAT",1710.00
January,2022,"IOCL-GUWAHATI,ASSAM",92.00
January,2022,CPCL-TOTAL,915.00
January,2022,"NRL-NUMALIGARH, ASSAM",272.00
January,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
February,2022,"IOCL-GUWAHATI,ASSAM",82.00
February,2022,"IOCL TOTAL",5785.00
February,2022,CPCL-TOTAL,928.00
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236.00
February,2022,"NEL-VADINAR,GUJARAT",1563.00
March,2022,"IOCL-PANIPAT, HARYANA",1285.00
March,2022,"IOCL-DIGBOI,ASSAM",61.00
March,2022,"IOCL-BONGAIGAON,ASSAM",248.00
March,2022,"CPCL-MANALI, TAMILNADU",1062.00
March,2022,BPCL-TOTAL,3493.00
March,2022,"HPCL-MUMBAI,MAHARASHTRA",711.00
March,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1092.00
April,2020,"IOCL-BONGAIGAON,ASSAM",174.00
April,2020,"BPCL-MUMBAI, MAHARASHTRA",768.00
April,2020,BPCL-TOTAL,2086.00
April,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",2.00
April,2020,"HPCL-VISAKH,ANDHRA PRADESH",774.00
April,2020,"RIL TOTAL",5314.00
April,2020,"GRAND TOTAL",14745.00
May,2020,"IOCL-BARAUNI,BIHAR",337.00
May,2020,"IOCL-GUWAHATI,ASSAM",24.00
May,2020,"IOCL TOTAL",4311.00
May,2020,CPCL-TOTAL,441.00
May,2020,"NRL-NUMALIGARH, ASSAM",206.00
May,2020,"RIL,JAMNAGAR,GUJARAT",2762.00
June,2020,BORL-BINA,387.00
June,2020,BPCL-TOTAL,2540.00
June,2020,"HMEL-GGSR, BATHINDA, PUNJAB",785.00
July,2020,"IOCL-PARADIP,ODISHA",1025.00
July,2020,CPCL-TOTAL,724.00
July,2020,BORL-BINA,411.00
July,2020,"ONGC TOTAL",773.00
July,2020,"RIL,JAMNAGAR,GUJARAT",2830.00
July,2020,"NEL-VADINAR,GUJARAT",1560.00
July,2020,"GRAND TOTAL",17680.00
August,2020,"IOCL-KOYALI, GUJARAT",834.00
August,2020,"IOCL-DIGBOI,ASSAM",56.00
August,2020,"IOCL TOTAL",3950.00
August,2020,"BPCL-MUMBAI, MAHARASHTRA",828.00
August,2020,"MRPL-MANGALORE,KARNATAKA",905.00
September,2020,"IOCL-GUWAHATI,ASSAM",75.00
September,2020,CPCL-TOTAL,770.00
September,2020,BORL-BINA,489.00
September,2020,"HPCL-VISAKH,ANDHRA PRADESH",728.00
October,2020,"ONGC TOTAL",738.00
October,2020,"HPCL-MUMBAI,MAHARASHTRA",496.00
October,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038.00
November,2020,"CPCL-MANALI, TAMILNADU",729.00
November,2020,CPCL-TOTAL,729.00
November,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
November,2020,"HPCL-MUMBAI,MAHARASHTRA",612.00
November,2020,"HPCL-VISAKH,ANDHRA PRADESH",808.00
November,2020,"GRAND TOTAL",20782.00
December,2020,"IOCL-MATHURA, UTTAR PRADESH",871.00
December,2020,CPCL-TOTAL,766.00
December,2020,BPCL-TOTAL,3414.00
December,2020,"RIL,JAMNAGAR,GUJARAT",2996.00
December,2020,"GRAND TOTAL",21024.00
January,2021,"NRL-NUMALIGARH, ASSAM",249.00
January,2021,BPCL-TOTAL,3837.00
January,2021,"ONGC TOTAL",1427.00
February,2021,"IOCL-BONGAIGAON,ASSAM",196.00
February,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00
March,2021,"IOCL-MATHURA, UTTAR PRADESH",853.00
March,2021,"IOCL-PARADIP,ODISHA",1362.00
March,2021,CPCL-TOTAL,964.00
April,2023,"IOCL-KOYALI, GUJARAT",1121.57
April,2023,"IOCL-HALDIA, WEST BENGAL",706.28
April,2023,"IOCL-GUWAHATI,ASSAM",94.00
April,2023,"IOCL-BONGAIGAON,ASSAM",249.60
April,2023,CPCL-TOTAL,919.52
April,2023,"BPCL-MUMBAI, MAHARASHTRA",1258.57
April,2023,BPCL-TOTAL,3236.66
April,2023,"NRL-NUMALIGARH, ASSAM",-0.00
April,2023,"MRPL-MANGALORE,KARNATAKA",1468.92
April,2023,"RIL,JAMNAGAR,GUJARAT",2841.68
May,2023,"IOCL-PARADIP,ODISHA",1272.10
May,2023,"IOCL TOTAL",6417.40
May,2023,BPCL-TOTAL,3456.97
May,2023,"RIL TOTAL",5647.78
June,2023,"IOCL-BARAUNI,BIHAR",491.92
June,2023,BORL-BINA,579.83
June,2023,"NRL-NUMALIGARH, ASSAM",8.30
June,2023,"RIL TOTAL",5037.32
June,2023,"GRAND TOTAL",21538.44
July,2023,"IOCL-GUWAHATI,ASSAM",94.73
July,2023,"IOCL TOTAL",6013.25
July,2023,"NRL-NUMALIGARH, ASSAM",245.10
July,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.38
July,2023,"RIL,JAMNAGAR,GUJARAT",2951.38
August,2023,"IOCL-KOYALI, GUJARAT",1262.85
August,2023,"BPCL-KOCHI, KERALA",1345.90
August,2023,"NRL-NUMALIGARH, ASSAM",256.76
August,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1106.15
August,2023,"RIL TOTAL",5478.17
September,2023,"IOCL-HALDIA, WEST BENGAL",325.10
September,2023,"IOCL-GUWAHATI,ASSAM",90.04
September,2023,"IOCL-BONGAIGAON,ASSAM",251.38
September,2023,"NRL-NUMALIGARH, ASSAM",275.95
September,2023,HPCL-TOTAL,2934.57
October,2023,"IOCL-PARADIP,ODISHA",722.08
October,2023,"BPCL-MUMBAI, MAHARASHTRA",740.46
October,2023,BPCL-TOTAL,2994.35
October,2023,HPCL-TOTAL,3012.34
October,2023,"RIL TOTAL",4520.59
November,2023,"IOCL-BARAUNI,BIHAR",553.58
November,2023,"IOCL-PARADIP,ODISHA",1260.94
November,2023,BORL-BINA,682.46
November,2023,"HPCL-MUMBAI,MAHARASHTRA",858.19
November,2023,"HPCL-VISAKH,ANDHRA PRADESH",826.45
November,2023,HPCL-TOTAL,2759.06
November,2023,"RIL,JAMNAGAR,GUJARAT",2796.68
November,2023,"RIL TOTAL",5013.47
November,2023,"NEL-VADINAR,GUJARAT",1674.60
December,2023,"IOCL-PARADIP,ODISHA",1387.38
December,2023,BPCL-TOTAL,3619.88
December,2023,"MRPL-MANGALORE,KARNATAKA",1558.25
December,2023,"HPCL-MUMBAI,MAHARASHTRA",842.76
December,2023,"RIL,JAMNAGAR,GUJARAT",2784.65
December,2023,"RIL TOTAL",5278.44
December,2023,"NEL-VADINAR,GUJARAT",1729.72
January,2024,"IOCL-BARAUNI,BIHAR",517.57
January,2024,"IOCL-KOYALI, GUJARAT",1191.57
January,2024,"IOCL-GUWAHATI,ASSAM",95.74
January,2024,BPCL-TOTAL,3476.48
January,2024,"MRPL-MANGALORE,KARNATAKA",1527.48
February,2024,"IOCL-KOYALI, GUJARAT",1249.94
February,2024,"IOCL-PANIPAT, HARYANA",693.25
February,2024,"IOCL-GUWAHATI,ASSAM",99.02
February,2024,BPCL-TOTAL,3174.59
March,2024,"IOCL-HALDIA, WEST BENGAL",735.72
March,2024,"IOCL-GUWAHATI,ASSAM",113.51
March,2024,"CPCL-MANALI, TAMILNADU",1072.31
March,2024,"NRL-NUMALIGARH, ASSAM",285.78
March,2024,"ONGC TOTAL",1527.62
March,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1103.42
March,2024,"NEL-VADINAR,GUJARAT",1728.11
April,2022,"IOCL-HALDIA, WEST BENGAL",706.39
April,2022,"IOCL-PANIPAT, HARYANA",1172.27
April,2022,"NRL-NUMALIGARH, ASSAM",270.72
April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05
May,2022,"IOCL-HALDIA, WEST BENGAL",712.40
May,2022,"IOCL-BONGAIGAON,ASSAM",182.52
May,2022,"IOCL-PARADIP,ODISHA",1362.51
May,2022,"BPCL-KOCHI, KERALA",1431.85
May,2022,"ONGC TOTAL",1421.98
May,2022,"RIL TOTAL",5671.18
June,2022,"IOCL-HALDIA, WEST BENGAL",678.74
June,2022,"IOCL-BONGAIGAON,ASSAM",185.65
June,2022,"NRL-NUMALIGARH, ASSAM",240.56
June,2022,"HPCL-MUMBAI,MAHARASHTRA",851.69
June,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48
July,2022,"IOCL-KOYALI, GUJARAT",1303.93
July,2022,"IOCL-DIGBOI,ASSAM",62.85
July,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36
July,2022,BORL-BINA,586.53
July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36
July,2022,HPCL-TOTAL,2669.81
July,2022,"NEL-VADINAR,GUJARAT",1734.80
August,2022,"IOCL-BONGAIGAON,ASSAM",248.88
August,2022,"HPCL-MUMBAI,MAHARASHTRA",766.90
August,2022,HPCL-TOTAL,2342.38
August,2022,"NEL-VADINAR,GUJARAT",1750.80
September,2022,"IOCL-DIGBOI,ASSAM",44.35
April,2023,"IOCL-MATHURA, UTTAR PRADESH",836.71
April,2023,HPCL-TOTAL,2754.96
May,2023,"IOCL-GUWAHATI,ASSAM",96.30
May,2023,"IOCL-DIGBOI,ASSAM",64.40
May,2023,BORL-BINA,660.48
May,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1101.06
June,2023,"IOCL TOTAL",6297.37
June,2023,"MRPL-MANGALORE,KARNATAKA",1452.47
June,2023,"ONGC TOTAL",1458.08
June,2023,"HPCL-VISAKH,ANDHRA PRADESH",1049.80
June,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1062.37
June,2023,"RIL,JAMNAGAR,GUJARAT",2783.26
July,2023,"IOCL-KOYALI, GUJARAT",1330.93
July,2023,"IOCL-DIGBOI,ASSAM",63.47
July,2023,CPCL-TOTAL,1040.15
July,2023,"BPCL-MUMBAI, MAHARASHTRA",1367.99
July,2023,BORL-BINA,48.04
July,2023,"RIL TOTAL",5516.03
July,2023,"GRAND TOTAL",21885.12
August,2023,"CPCL-MANALI, TAMILNADU",1000.38
August,2023,HPCL-TOTAL,2996.38
August,2023,"RIL,JAMNAGAR,GUJARAT",2939.45
September,2023,"IOCL-MATHURA, UTTAR PRADESH",721.79
September,2023,"IOCL-DIGBOI,ASSAM",51.97
September,2023,"BPCL-KOCHI, KERALA",1299.36
September,2023,BPCL-TOTAL,3334.08
September,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.18
September,2023,"HPCL-MUMBAI,MAHARASHTRA",846.75
September,2023,"HPCL-VISAKH,ANDHRA PRADESH",1013.17
September,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1986.70
October,2023,"IOCL-BARAUNI,BIHAR",503.43
October,2023,"CPCL-MANALI, TAMILNADU",1007.23
October,2023,"HPCL-VISAKH,ANDHRA PRADESH",1010.06
October,2023,"RIL,JAMNAGAR,GUJARAT",2925.27
November,2023,"IOCL-PANIPAT, HARYANA",1308.49
December,2023,"IOCL-DIGBOI,ASSAM",69.08
December,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.34
December,2023,"BPCL-KOCHI, KERALA",1563.39
December,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.70
December,2023,"ONGC TOTAL",1563.95
December,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1109.95
December,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2493.78
January,2024,"IOCL-MATHURA, UTTAR PRADESH",646.13
January,2024,"IOCL-BONGAIGAON,ASSAM",251.93
January,2024,"HMEL-GGSR, BATHINDA, PUNJAB",851.84
January,2024,"NEL-VADINAR,GUJARAT",1732.75
February,2024,"IOCL-BARAUNI,BIHAR",541.97
February,2024,"IOCL-DIGBOI,ASSAM",64.69
February,2024,"IOCL-BONGAIGAON,ASSAM",238.90
February,2024,"IOCL-PARADIP,ODISHA",1271.30
February,2024,"BPCL-MUMBAI, MAHARASHTRA",1307.15
February,2024,"HPCL-VISAKH,ANDHRA PRADESH",1254.00
February,2024,"HMEL-GGSR, BATHINDA, PUNJAB",884.58
March,2024,"IOCL-MATHURA, UTTAR PRADESH",900.97
March,2024,"IOCL-DIGBOI,ASSAM",68.77
March,2024,"IOCL-PARADIP,ODISHA",1405.67
March,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.45
March,2024,"RIL,JAMNAGAR,GUJARAT",3016.31
April,2022,"CPCL-MANALI, TAMILNADU",904.20
April,2022,"BPCL-MUMBAI, MAHARASHTRA",1301.76
April,2022,"BPCL-KOCHI, KERALA",1314.11
April,2022,"MRPL-MANGALORE,KARNATAKA",1480.97
April,2022,"HPCL-VISAKH,ANDHRA PRADESH",797.81
April,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1039.86
April,2022,"NEL-VADINAR,GUJARAT",1659.98
May,2022,"IOCL TOTAL",6422.41
May,2022,"NRL-NUMALIGARH, ASSAM",275.34
May,2022,"HPCL-MUMBAI,MAHARASHTRA",844.05
May,2022,HPCL-TOTAL,2757.90
May,2022,"RIL,JAMNAGAR,GUJARAT",3123.94
May,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2547.25
June,2022,"IOCL-KOYALI, GUJARAT",1314.78
June,2022,"IOCL-PARADIP,ODISHA",1263.58
June,2022,BPCL-TOTAL,2895.38
June,2022,"RIL,JAMNAGAR,GUJARAT",2953.79
June,2022,"NEL-VADINAR,GUJARAT",1679.61
July,2022,"IOCL-BARAUNI,BIHAR",558.62
July,2022,"HPCL-MUMBAI,MAHARASHTRA",876.49
July,2022,"RIL,JAMNAGAR,GUJARAT",2932.96
August,2022,"IOCL-HALDIA, WEST BENGAL",708.57
August,2022,"IOCL-PANIPAT, HARYANA",1207.09
August,2022,"BPCL-KOCHI, KERALA",1377.33
August,2022,BORL-BINA,412.22
August,2022,BPCL-TOTAL,3036.17
August,2022,"HPCL-VISAKH,ANDHRA PRADESH",555.78
August,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2146.64
August,2022,"GRAND TOTAL",19533.70
September,2022,"IOCL-HALDIA, WEST BENGAL",701.74
September,2022,"IOCL-MATHURA, UTTAR PRADESH",767.41
September,2022,BPCL-TOTAL,3067.65
September,2022,"RIL TOTAL",4622.84
September,2022,"GRAND TOTAL",19549.92
October,2022,"IOCL-DIGBOI,ASSAM",62.42
October,2022,"IOCL-BONGAIGAON,ASSAM",254.15
October,2022,CPCL-TOTAL,723.13
October,2022,"BPCL-KOCHI, KERALA",581.02
October,2022,"NRL-NUMALIGARH, ASSAM",279.61
October,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.55
October,2022,"MRPL-MANGALORE,KARNATAKA",1493.47
October,2022,"ONGC TOTAL",1501.02
October,2022,HPCL-TOTAL,2663.38
October,2022,"NEL-VADINAR,GUJARAT",1716.96
November,2022,"IOCL-HALDIA, WEST BENGAL",708.10
November,2022,"IOCL-DIGBOI,ASSAM",59.69
November,2022,CPCL-TOTAL,921.00
November,2022,"ONGC TOTAL",1467.89
November,2022,"RIL TOTAL",5233.71
December,2022,"IOCL-BARAUNI,BIHAR",529.96
December,2022,"IOCL-KOYALI, GUJARAT",1326.20
December,2022,"IOCL-PANIPAT, HARYANA",890.41
December,2022,"IOCL-BONGAIGAON,ASSAM",251.22
December,2022,"CPCL-MANALI, TAMILNADU",960.42
December,2022,BPCL-TOTAL,3563.35
December,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38
January,2023,"IOCL-GUWAHATI,ASSAM",94.01
January,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.21
January,2023,BORL-BINA,678.71
January,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.57
January,2023,"HPCL-VISAKH,ANDHRA PRADESH",823.65
January,2023,"RIL,JAMNAGAR,GUJARAT",2848.00
February,2023,"IOCL-GUWAHATI,ASSAM",86.09
February,2023,"IOCL-DIGBOI,ASSAM",57.15
February,2023,"IOCL-BONGAIGAON,ASSAM",233.22
February,2023,"IOCL-PARADIP,ODISHA",1191.96
February,2023,CPCL-TOTAL,927.88
February,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1008.02
March,2023,"IOCL-BARAUNI,BIHAR",579.97
March,2023,"IOCL-DIGBOI,ASSAM",59.40
March,2023,"IOCL-PARADIP,ODISHA",1418.04
March,2023,CPCL-TOTAL,1033.64
March,2023,"MRPL-MANGALORE,KARNATAKA",1502.25
March,2023,"RIL,JAMNAGAR,GUJARAT",2822.16
March,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2537.59
March,2023,"NEL-VADINAR,GUJARAT",1707.40
March,2023,"GRAND TOTAL",23003.61
April,2021,"IOCL-PANIPAT, HARYANA",1322.00
April,2021,"BPCL-KOCHI, KERALA",1363.00
April,2021,"MRPL-MANGALORE,KARNATAKA",1100.00
April,2021,HPCL-TOTAL,1926.00
May,2021,"IOCL-BONGAIGAON,ASSAM",227.00
May,2021,"IOCL TOTAL",5380.00
May,2021,BPCL-TOTAL,2601.00
May,2021,"HPCL-MUMBAI,MAHARASHTRA",119.00
June,2021,"IOCL-KOYALI, GUJARAT",1072.00
June,2021,"IOCL-HALDIA, WEST BENGAL",606.00
June,2021,"IOCL-PANIPAT, HARYANA",1213.00
June,2021,BORL-BINA,425.00
June,2021,HPCL-TOTAL,1848.00
June,2021,"NEL-VADINAR,GUJARAT",1650.00
July,2021,"IOCL-PANIPAT, HARYANA",1343.00
July,2021,"IOCL-GUWAHATI,ASSAM",
July,2021,"IOCL-BONGAIGAON,ASSAM",226.00
July,2021,CPCL-TOTAL,819.00
July,2021,"ONGC TOTAL",1108.00
July,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1098.00
August,2021,"IOCL-DIGBOI,ASSAM",56.00
August,2021,"IOCL-PARADIP,ODISHA",663.00
August,2021,"CPCL-MANALI, TAMILNADU",629.00
August,2021,CPCL-TOTAL,629.00
August,2021,BPCL-TOTAL,2971.00
August,2021,"NRL-NUMALIGARH, ASSAM",212.00
August,2021,"MRPL-MANGALORE,KARNATAKA",1007.00
August,2021,"ONGC TOTAL",1013.00
August,2021,"NEL-VADINAR,GUJARAT",1710.00
September,2021,"IOCL-BARAUNI,BIHAR",56.00
September,2021,"IOCL-KOYALI, GUJARAT",1005.00
September,2021,"IOCL-HALDIA, WEST BENGAL",642.00
September,2021,"IOCL-MATHURA, UTTAR PRADESH",723.00
September,2021,CPCL-TOTAL,497.00
September,2021,"BPCL-KOCHI, KERALA",1338.00
September,2021,BPCL-TOTAL,2874.00
September,2021,"HPCL-VISAKH,ANDHRA PRADESH",546.00
October,2021,"IOCL-MATHURA, UTTAR PRADESH",854.00
October,2021,"IOCL-GUWAHATI,ASSAM",93.00
October,2021,"ONGC TOTAL",1469.00
October,2021,"RIL TOTAL",5754.00
October,2021,"NEL-VADINAR,GUJARAT",1749.00
November,2021,"CPCL-MANALI, TAMILNADU",816.00
November,2021,"BPCL-MUMBAI, MAHARASHTRA",1294.00
November,2021,BPCL-TOTAL,3407.00
November,2021,"ONGC TOTAL",1475.00
November,2021,"RIL,JAMNAGAR,GUJARAT",2997.00
December,2021,"IOCL-GUWAHATI,ASSAM",84.00
December,2021,"IOCL-DIGBOI,ASSAM",62.00
December,2021,"IOCL-PARADIP,ODISHA",1330.00
December,2021,"BPCL-KOCHI, KERALA",1360.00
December,2021,"NRL-NUMALIGARH, ASSAM",137.00
December,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2510.00
January,2022,"IOCL-BARAUNI,BIHAR",619.00
January,2022,"IOCL-BONGAIGAON,ASSAM",207.00
January,2022,BORL-BINA,722.00
January,2022,"ONGC TOTAL",1448.00
January,2022,"HPCL-VISAKH,ANDHRA PRADESH",793.00
January,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1100.00
January,2022,HPCL-TOTAL,2745.00
January,2022,"GRAND TOTAL",21709.00
February,2022,"IOCL-HALDIA, WEST BENGAL",630.00
February,2022,"IOCL-MATHURA, UTTAR PRADESH",781.00
February,2022,"IOCL-PANIPAT, HARYANA",1122.00
February,2022,"CPCL-MANALI, TAMILNADU",928.00
February,2022,"BPCL-KOCHI, KERALA",1394.00
February,2022,BPCL-TOTAL,3225.00
February,2022,"HPCL-VISAKH,ANDHRA PRADESH",761.00
February,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1010.00
