Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)"
February,2022,"RIL TOTAL",4790.00
March,2022,"IOCL-HALDIA, WEST BENGAL",747.00
March,2022,"BPCL-MUMBAI, MAHARASHTRA",1268.00
March,2022,"BPCL-KOCHI, KERALA",1522.00
March,2022,"RIL TOTAL",5129.00
March,2022,"NEL-VADINAR,GUJARAT",1690.00
April,2020,"IOCL-DIGBOI,ASSAM",54.00
April,2020,"IOCL TOTAL",3046.00
April,2020,"CPCL-MANALI, TAMILNADU",308.00
April,2020,CPCL-TOTAL,308.00
April,2020,"BPCL-KOCHI, KERALA",815.00
April,2020,"RIL,JAMNAGAR,GUJARAT",2792.00
April,2020,"NEL-VADINAR,GUJARAT",1402.00
May,2020,"IOCL-HALDIA, WEST BENGAL",319.00
May,2020,"BPCL-MUMBAI, MAHARASHTRA",907.00
May,2020,"BPCL-KOCHI, KERALA",676.00
May,2020,BORL-BINA,440.00
May,2020,BPCL-TOTAL,2229.00
May,2020,"ONGC TOTAL",572.00
May,2020,"HMEL-GGSR, BATHINDA, PUNJAB",653.00
May,2020,"NEL-VADINAR,GUJARAT",1561.00
June,2020,"IOCL-PANIPAT, HARYANA",1173.00
June,2020,CPCL-TOTAL,579.00
June,2020,"BPCL-MUMBAI, MAHARASHTRA",972.00
June,2020,"MRPL-MANGALORE,KARNATAKA",627.00
June,2020,"HPCL-MUMBAI,MAHARASHTRA",654.00
June,2020,"RIL TOTAL",4652.00
June,2020,"GRAND TOTAL",17537.00
July,2020,"IOCL-KOYALI, GUJARAT",1092.00
July,2020,"IOCL-GUWAHATI,ASSAM",87.00
July,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
July,2020,"HPCL-MUMBAI,MAHARASHTRA",637.00
July,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1035.00
July,2020,"RIL TOTAL",4299.00
August,2020,"IOCL-MATHURA, UTTAR PRADESH",641.00
August,2020,"HPCL-VISAKH,ANDHRA PRADESH",651.00
August,2020,"RIL,JAMNAGAR,GUJARAT",3021.00
August,2020,"GRAND TOTAL",16150.00
September,2020,"IOCL-KOYALI, GUJARAT",899.00
September,2020,"IOCL-HALDIA, WEST BENGAL",440.00
September,2020,"IOCL-MATHURA, UTTAR PRADESH",615.00
September,2020,"IOCL-PARADIP,ODISHA",992.00
September,2020,"CPCL-MANALI, TAMILNADU",770.00
September,2020,"MRPL-MANGALORE,KARNATAKA",813.00
September,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1016.00
September,2020,"RIL,JAMNAGAR,GUJARAT",2779.00
September,2020,"RIL TOTAL",5009.00
October,2020,"IOCL-MATHURA, UTTAR PRADESH",709.00
October,2020,"IOCL-PANIPAT, HARYANA",1237.00
October,2020,"IOCL-GUWAHATI,ASSAM",84.00
October,2020,"IOCL-PARADIP,ODISHA",1279.00
October,2020,"BPCL-MUMBAI, MAHARASHTRA",1051.00
October,2020,"BPCL-KOCHI, KERALA",1066.00
October,2020,"MRPL-MANGALORE,KARNATAKA",731.00
November,2020,"BPCL-KOCHI, KERALA",1337.00
November,2020,"ONGC TOTAL",1018.00
November,2020,"RIL,JAMNAGAR,GUJARAT",2871.00
November,2020,"NEL-VADINAR,GUJARAT",1476.00
December,2020,"IOCL-KOYALI, GUJARAT",1173.00
December,2020,"IOCL-PARADIP,ODISHA",977.00
December,2020,"IOCL TOTAL",5988.00
December,2020,"HPCL-VISAKH,ANDHRA PRADESH",707.00
December,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1027.00
December,2020,"RIL TOTAL",5688.00
January,2021,"IOCL-BONGAIGAON,ASSAM",211.00
January,2021,CPCL-TOTAL,917.00
January,2021,BORL-BINA,694.00
January,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8.00
January,2021,"HPCL-MUMBAI,MAHARASHTRA",639.00
February,2021,"IOCL-DIGBOI,ASSAM",22.00
February,2021,"NRL-NUMALIGARH, ASSAM",227.00
February,2021,"HMEL-GGSR, BATHINDA, PUNJAB",13.00
February,2021,HPCL-TOTAL,1392.00
March,2021,"IOCL-BARAUNI,BIHAR",569.00
March,2021,"IOCL-KOYALI, GUJARAT",944.00
March,2021,"IOCL-PANIPAT, HARYANA",1192.00
March,2021,"IOCL-GUWAHATI,ASSAM",89.00
March,2021,"BPCL-KOCHI, KERALA",1383.00
March,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1025.00
March,2021,"RIL,JAMNAGAR,GUJARAT",2839.00
March,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2051.00
March,2021,"NEL-VADINAR,GUJARAT",1627.00
March,2021,"GRAND TOTAL",20985.00
April,2023,"IOCL-PARADIP,ODISHA",1187.32
April,2023,"CPCL-MANALI, TAMILNADU",919.52
April,2023,"BPCL-KOCHI, KERALA",1384.56
April,2023,BORL-BINA,593.53
April,2023,"HPCL-MUMBAI,MAHARASHTRA",837.11
April,2023,"HPCL-VISAKH,ANDHRA PRADESH",844.74
April,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1073.10
April,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2514.05
April,2023,"GRAND TOTAL",21450.62
May,2023,CPCL-TOTAL,941.28
May,2023,"ONGC TOTAL",1500.53
May,2023,"RIL,JAMNAGAR,GUJARAT",2882.35
May,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2765.42
May,2023,"NEL-VADINAR,GUJARAT",1743.37
May,2023,"GRAND TOTAL",22726.56
June,2023,"IOCL-GUWAHATI,ASSAM",92.45
June,2023,"IOCL-DIGBOI,ASSAM",62.73
June,2023,"HPCL-MUMBAI,MAHARASHTRA",809.85
June,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2254.06
June,2023,"NEL-VADINAR,GUJARAT",1583.26
July,2023,HPCL-TOTAL,3103.73
July,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2564.65
July,2023,"NEL-VADINAR,GUJARAT",1717.65
August,2023,"IOCL-HALDIA, WEST BENGAL",689.55
August,2023,"IOCL-MATHURA, UTTAR PRADESH",680.98
August,2023,"IOCL-DIGBOI,ASSAM",19.81
August,2023,"MRPL-MANGALORE,KARNATAKA",990.47
August,2023,"ONGC TOTAL",995.50
August,2023,"HPCL-VISAKH,ANDHRA PRADESH",1104.99
August,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2538.72
August,2023,"GRAND TOTAL",21924.43
September,2023,"IOCL TOTAL",5506.27
September,2023,"BPCL-MUMBAI, MAHARASHTRA",1354.53
September,2023,BORL-BINA,680.20
September,2023,"RIL,JAMNAGAR,GUJARAT",2807.15
September,2023,"RIL TOTAL",4793.84
September,2023,"NEL-VADINAR,GUJARAT",1666.73
October,2023,"IOCL-KOYALI, GUJARAT",1279.38
October,2023,"IOCL-MATHURA, UTTAR PRADESH",852.62
October,2023,"IOCL-GUWAHATI,ASSAM",0.14
October,2023,"IOCL-DIGBOI,ASSAM",66.20
October,2023,"IOCL TOTAL",5656.35
October,2023,"MRPL-MANGALORE,KARNATAKA",1354.58
November,2023,"IOCL-HALDIA, WEST BENGAL",692.39
November,2023,"CPCL-MANALI, TAMILNADU",1001.04
November,2023,"BPCL-MUMBAI, MAHARASHTRA",927.63
November,2023,"BPCL-KOCHI, KERALA",1506.98
November,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2216.79
December,2023,"IOCL-BARAUNI,BIHAR",597.97
December,2023,"IOCL-KOYALI, GUJARAT",1330.24
December,2023,"IOCL-HALDIA, WEST BENGAL",726.88
December,2023,"IOCL-PANIPAT, HARYANA",1246.48
December,2023,CPCL-TOTAL,820.50
December,2023,"GRAND TOTAL",22686.73
January,2024,"IOCL-HALDIA, WEST BENGAL",742.02
January,2024,"IOCL-DIGBOI,ASSAM",68.88
January,2024,BORL-BINA,731.36
January,2024,"RIL TOTAL",5582.72
February,2024,"IOCL TOTAL",5630.93
February,2024,"CPCL-MANALI, TAMILNADU",1013.93
February,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.64
February,2024,"MRPL-MANGALORE,KARNATAKA",1462.33
February,2024,"ONGC TOTAL",1467.97
February,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2192.13
March,2024,"IOCL-BARAUNI,BIHAR",605.82
March,2024,"IOCL-BONGAIGAON,ASSAM",252.98
March,2024,"IOCL TOTAL",6558.95
March,2024,"BPCL-KOCHI, KERALA",1556.77
March,2024,BORL-BINA,631.74
March,2024,"HPCL-MUMBAI,MAHARASHTRA",544.61
March,2024,"HPCL-VISAKH,ANDHRA PRADESH",1322.52
March,2024,"RIL TOTAL",5578.73
March,2024,"GRAND TOTAL",23372.10
April,2022,"IOCL-KOYALI, GUJARAT",1317.97
April,2022,"IOCL-PARADIP,ODISHA",1327.97
April,2022,"IOCL TOTAL",6237.26
April,2022,BORL-BINA,684.49
April,2022,"RIL,JAMNAGAR,GUJARAT",3034.27
April,2022,"GRAND TOTAL",21579.61
May,2022,"IOCL-BARAUNI,BIHAR",584.47
May,2022,"IOCL-KOYALI, GUJARAT",1358.94
May,2022,"IOCL-GUWAHATI,ASSAM",93.84
May,2022,"IOCL-DIGBOI,ASSAM",62.26
May,2022,"BPCL-MUMBAI, MAHARASHTRA",1256.55
May,2022,BORL-BINA,675.73
May,2022,BPCL-TOTAL,3364.13
May,2022,"MRPL-MANGALORE,KARNATAKA",1415.20
May,2022,"HPCL-VISAKH,ANDHRA PRADESH",802.67
May,2022,"GRAND TOTAL",22643.90
June,2022,CPCL-TOTAL,972.61
June,2022,"BPCL-MUMBAI, MAHARASHTRA",881.71
June,2022,"HPCL-VISAKH,ANDHRA PRADESH",781.84
June,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2408.11
July,2022,"IOCL-HALDIA, WEST BENGAL",722.08
July,2022,"IOCL-GUWAHATI,ASSAM",93.18
July,2022,CPCL-TOTAL,975.07
July,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",4.98
July,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2549.47
July,2022,"RIL TOTAL",5482.43
August,2022,"IOCL-BARAUNI,BIHAR",590.38
August,2022,"IOCL-KOYALI, GUJARAT",1277.89
August,2022,"IOCL-MATHURA, UTTAR PRADESH",649.60
August,2022,"IOCL-DIGBOI,ASSAM",61.16
August,2022,"IOCL TOTAL",4836.86
August,2022,"BPCL-MUMBAI, MAHARASHTRA",1246.63
August,2022,"NRL-NUMALIGARH, ASSAM",264.33
August,2022,"ONGC TOTAL",1186.14
September,2022,"IOCL-GUWAHATI,ASSAM",86.65
September,2022,"IOCL-PARADIP,ODISHA",274.67
September,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82
September,2022,"HPCL-MUMBAI,MAHARASHTRA",786.46
September,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59
September,2022,HPCL-TOTAL,2533.10
September,2022,"RIL,JAMNAGAR,GUJARAT",2784.11
September,2022,"NEL-VADINAR,GUJARAT",1692.16
October,2022,"IOCL-BARAUNI,BIHAR",568.94
October,2022,"IOCL-PANIPAT, HARYANA",1184.84
October,2022,"IOCL-GUWAHATI,ASSAM",93.19
October,2022,"CPCL-MANALI, TAMILNADU",723.13
October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49
November,2022,"IOCL-BARAUNI,BIHAR",573.35
November,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84
November,2022,"BPCL-MUMBAI, MAHARASHTRA",1216.45
November,2022,"BPCL-KOCHI, KERALA",1380.82
November,2022,BORL-BINA,691.93
November,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2677.79
December,2022,"IOCL-DIGBOI,ASSAM",61.96
December,2022,CPCL-TOTAL,960.42
December,2022,"BPCL-MUMBAI, MAHARASHTRA",1344.11
December,2022,BORL-BINA,712.61
December,2022,"MRPL-MANGALORE,KARNATAKA",1504.05
January,2023,"IOCL-MATHURA, UTTAR PRADESH",805.76
January,2023,"IOCL-PANIPAT, HARYANA",1334.66
January,2023,"IOCL TOTAL",6541.94
January,2023,"BPCL-KOCHI, KERALA",1533.08
January,2023,BPCL-TOTAL,3601.99
January,2023,"HPCL-MUMBAI,MAHARASHTRA",837.69
January,2023,HPCL-TOTAL,2777.96
February,2023,"IOCL-KOYALI, GUJARAT",1212.84
February,2023,"IOCL-HALDIA, WEST BENGAL",665.21
February,2023,"IOCL TOTAL",5938.40
February,2023,"MRPL-MANGALORE,KARNATAKA",1392.99
February,2023,"HPCL-MUMBAI,MAHARASHTRA",803.65
February,2023,"HPCL-VISAKH,ANDHRA PRADESH",745.84
February,2023,HPCL-TOTAL,2557.50
February,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2280.04
February,2023,"RIL TOTAL",4855.94
March,2023,"IOCL-KOYALI, GUJARAT",1346.06
March,2023,"IOCL-MATHURA, UTTAR PRADESH",897.88
March,2023,"IOCL-PANIPAT, HARYANA",1297.96
March,2023,"BPCL-MUMBAI, MAHARASHTRA",1358.27
March,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.94
March,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1110.38
March,2023,HPCL-TOTAL,2858.24
March,2023,"RIL TOTAL",5359.75
April,2021,"IOCL-MATHURA, UTTAR PRADESH",819.00
April,2021,"BPCL-MUMBAI, MAHARASHTRA",1225.00
April,2021,"HPCL-VISAKH,ANDHRA PRADESH",826.00
April,2021,"RIL TOTAL",5021.00
May,2021,"IOCL-BARAUNI,BIHAR",533.00
May,2021,CPCL-TOTAL,629.00
May,2021,HPCL-TOTAL,1958.00
May,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2678.00
May,2021,"RIL TOTAL",5515.00
May,2021,"GRAND TOTAL",18970.00
June,2021,"IOCL-GUWAHATI,ASSAM",
June,2021,"IOCL-DIGBOI,ASSAM",59.00
June,2021,BPCL-TOTAL,2471.00
June,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
June,2021,"ONGC TOTAL",1015.00
June,2021,"RIL,JAMNAGAR,GUJARAT",2690.00
July,2021,"IOCL-HALDIA, WEST BENGAL",644.00
July,2021,"IOCL-MATHURA, UTTAR PRADESH",665.00
July,2021,"IOCL-PARADIP,ODISHA",1059.00
July,2021,"BPCL-MUMBAI, MAHARASHTRA",1253.00
July,2021,"BPCL-KOCHI, KERALA",1087.00
July,2021,"MRPL-MANGALORE,KARNATAKA",1105.00
August,2021,"IOCL-KOYALI, GUJARAT",1090.00
August,2021,"IOCL-HALDIA, WEST BENGAL",709.00
August,2021,"BPCL-KOCHI, KERALA",1087.00
August,2021,BORL-BINA,598.00
August,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
August,2021,"RIL,JAMNAGAR,GUJARAT",2873.00
August,2021,"RIL TOTAL",5110.00
September,2021,"CPCL-MANALI, TAMILNADU",497.00
September,2021,"BPCL-MUMBAI, MAHARASHTRA",957.00
September,2021,BORL-BINA,579.00
September,2021,"NRL-NUMALIGARH, ASSAM",238.00
September,2021,"HPCL-MUMBAI,MAHARASHTRA",411.00
September,2021,HPCL-TOTAL,2037.00
September,2021,"RIL TOTAL",5203.00
October,2021,"IOCL-BARAUNI,BIHAR",427.00
October,2021,"IOCL-KOYALI, GUJARAT",939.00
October,2021,"IOCL-DIGBOI,ASSAM",61.00
October,2021,BORL-BINA,658.00
October,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
October,2021,"MRPL-MANGALORE,KARNATAKA",1463.00
October,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113.00
October,2021,HPCL-TOTAL,2501.00
October,2021,"RIL,JAMNAGAR,GUJARAT",3110.00
November,2021,"IOCL-PANIPAT, HARYANA",1340.00
November,2021,"IOCL-DIGBOI,ASSAM",61.00
November,2021,CPCL-TOTAL,816.00
November,2021,"HPCL-MUMBAI,MAHARASHTRA",545.00
November,2021,"GRAND TOTAL",21483.00
December,2021,"IOCL-MATHURA, UTTAR PRADESH",766.00
December,2021,BPCL-TOTAL,3321.00
December,2021,"ONGC TOTAL",1441.00
December,2021,"HPCL-VISAKH,ANDHRA PRADESH",809.00
December,2021,"RIL TOTAL",5529.00
January,2022,"IOCL-KOYALI, GUJARAT",1273.00
January,2022,"IOCL-HALDIA, WEST BENGAL",301.00
January,2022,"CPCL-MANALI, TAMILNADU",915.00
January,2022,"BPCL-KOCHI, KERALA",1450.00
January,2022,"HPCL-MUMBAI,MAHARASHTRA",852.00
January,2022,"RIL,JAMNAGAR,GUJARAT",3042.00
February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
February,2022,"MRPL-MANGALORE,KARNATAKA",1392.00
February,2022,"ONGC TOTAL",1399.00
February,2022,HPCL-TOTAL,2519.00
March,2022,"IOCL-MATHURA, UTTAR PRADESH",884.00
March,2022,"IOCL-GUWAHATI,ASSAM",93.00
March,2022,"IOCL TOTAL",6636.00
March,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
March,2022,"HPCL-VISAKH,ANDHRA PRADESH",825.00
March,2022,HPCL-TOTAL,2628.00
April,2020,"IOCL-HALDIA, WEST BENGAL",305.00
April,2020,"NRL-NUMALIGARH, ASSAM",170.00
April,2020,"ONGC TOTAL",673.00
May,2020,"IOCL-KOYALI, GUJARAT",769.00
May,2020,"IOCL-MATHURA, UTTAR PRADESH",730.00
May,2020,"IOCL-BONGAIGAON,ASSAM",196.00
May,2020,"CPCL-MANALI, TAMILNADU",441.00
June,2020,"IOCL-KOYALI, GUJARAT",1041.00
June,2020,"IOCL-DIGBOI,ASSAM",61.00
June,2020,"IOCL-BONGAIGAON,ASSAM",193.00
June,2020,"IOCL-PARADIP,ODISHA",1227.00
June,2020,"BPCL-KOCHI, KERALA",931.00
June,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
July,2020,"IOCL-HALDIA, WEST BENGAL",580.00
July,2020,"IOCL-BONGAIGAON,ASSAM",222.00
July,2020,"IOCL TOTAL",5363.00
July,2020,"BPCL-MUMBAI, MAHARASHTRA",1097.00
July,2020,"NRL-NUMALIGARH, ASSAM",219.00
August,2020,"IOCL-PANIPAT, HARYANA",977.00
August,2020,"IOCL-BONGAIGAON,ASSAM",206.00
August,2020,"IOCL-PARADIP,ODISHA",266.00
August,2020,CPCL-TOTAL,562.00
August,2020,"NRL-NUMALIGARH, ASSAM",226.00
August,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
August,2020,"ONGC TOTAL",913.00
September,2020,"IOCL TOTAL",4657.00
September,2020,"BPCL-KOCHI, KERALA",980.00
September,2020,BPCL-TOTAL,2577.00
September,2020,"HPCL-MUMBAI,MAHARASHTRA",670.00
October,2020,"IOCL-BONGAIGAON,ASSAM",222.00
October,2020,BORL-BINA,561.00
October,2020,HPCL-TOTAL,2327.00
October,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2441.00
October,2020,"RIL TOTAL",5464.00
November,2020,"IOCL-BONGAIGAON,ASSAM",206.00
November,2020,"IOCL-PARADIP,ODISHA",1325.00
November,2020,"NRL-NUMALIGARH, ASSAM",230.00
November,2020,"RIL TOTAL",5482.00
December,2020,"IOCL-HALDIA, WEST BENGAL",709.00
December,2020,"IOCL-PANIPAT, HARYANA",1359.00
December,2020,"BPCL-KOCHI, KERALA",1329.00
December,2020,HPCL-TOTAL,2311.00
December,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2691.00
January,2021,"IOCL-KOYALI, GUJARAT",1187.00
January,2021,"MRPL-MANGALORE,KARNATAKA",1420.00
January,2021,"HMEL-GGSR, BATHINDA, PUNJAB",801.00
January,2021,HPCL-TOTAL,2240.00
January,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2648.00
January,2021,"RIL TOTAL",5564.00
February,2021,"IOCL-BARAUNI,BIHAR",518.00
February,2021,"IOCL-HALDIA, WEST BENGAL",657.00
February,2021,"IOCL-MATHURA, UTTAR PRADESH",790.00
February,2021,"IOCL-GUWAHATI,ASSAM",80.00
February,2021,"IOCL TOTAL",5387.00
February,2021,BPCL-TOTAL,3503.00
February,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
February,2021,"HPCL-MUMBAI,MAHARASHTRA",642.00
February,2021,"RIL,JAMNAGAR,GUJARAT",2664.00
February,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2212.00
February,2021,"NEL-VADINAR,GUJARAT",1397.00
March,2021,"IOCL-HALDIA, WEST BENGAL",665.00
March,2021,"CPCL-MANALI, TAMILNADU",964.00
March,2021,BORL-BINA,602.00
March,2021,"NRL-NUMALIGARH, ASSAM",241.00
March,2021,BPCL-TOTAL,3603.00
March,2021,"HPCL-MUMBAI,MAHARASHTRA",715.00
April,2023,"IOCL-BARAUNI,BIHAR",546.51
April,2023,"IOCL TOTAL",6037.64
April,2023,"ONGC TOTAL",1475.55
April,2023,"RIL TOTAL",5355.74
May,2023,"IOCL-MATHURA, UTTAR PRADESH",833.52
May,2023,"IOCL-PANIPAT, HARYANA",1263.15
May,2023,"IOCL-BONGAIGAON,ASSAM",257.90
May,2023,"CPCL-MANALI, TAMILNADU",941.28
May,2023,"BPCL-MUMBAI, MAHARASHTRA",1332.15
May,2023,"BPCL-KOCHI, KERALA",1464.34
May,2023,"NRL-NUMALIGARH, ASSAM",61.30
May,2023,"HPCL-VISAKH,ANDHRA PRADESH",1066.12
June,2023,"IOCL-HALDIA, WEST BENGAL",691.68
June,2023,"IOCL-MATHURA, UTTAR PRADESH",808.16
June,2023,"IOCL-BONGAIGAON,ASSAM",251.25
June,2023,"CPCL-MANALI, TAMILNADU",816.58
June,2023,CPCL-TOTAL,816.58
June,2023,"BPCL-KOCHI, KERALA",1467.81
June,2023,HPCL-TOTAL,2922.02
July,2023,"IOCL-BARAUNI,BIHAR",559.56
July,2023,"IOCL-HALDIA, WEST BENGAL",677.19
July,2023,"IOCL-PARADIP,ODISHA",1394.49
July,2023,"BPCL-KOCHI, KERALA",1389.29
July,2023,BPCL-TOTAL,2805.32
July,2023,"HPCL-MUMBAI,MAHARASHTRA",892.93
August,2023,"IOCL-BARAUNI,BIHAR",590.77
August,2023,"IOCL-GUWAHATI,ASSAM",94.25
August,2023,"IOCL-BONGAIGAON,ASSAM",254.94
August,2023,CPCL-TOTAL,1000.38
August,2023,"BPCL-MUMBAI, MAHARASHTRA",1386.54
August,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.03
August,2023,"HPCL-MUMBAI,MAHARASHTRA",785.24
August,2023,"NEL-VADINAR,GUJARAT",1727.11
September,2023,"IOCL-BARAUNI,BIHAR",529.03
September,2023,"IOCL-PANIPAT, HARYANA",1194.47
September,2023,"CPCL-MANALI, TAMILNADU",1007.97
September,2023,"MRPL-MANGALORE,KARNATAKA",764.90
September,2023,"GRAND TOTAL",20288.50
October,2023,"IOCL-HALDIA, WEST BENGAL",674.35
October,2023,"IOCL-BONGAIGAON,ASSAM",257.97
October,2023,CPCL-TOTAL,1007.23
October,2023,"NRL-NUMALIGARH, ASSAM",285.83
October,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.81
October,2023,"ONGC TOTAL",1359.39
October,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1104.28
October,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1595.32
November,2023,"IOCL-GUWAHATI,ASSAM",33.13
November,2023,"NRL-NUMALIGARH, ASSAM",280.22
November,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.60
November,2023,"MRPL-MANGALORE,KARNATAKA",1499.20
November,2023,"GRAND TOTAL",21668.32
December,2023,"IOCL-MATHURA, UTTAR PRADESH",815.41
December,2023,HPCL-TOTAL,2860.57
January,2024,"IOCL-PARADIP,ODISHA",1363.85
January,2024,"IOCL TOTAL",6091.56
January,2024,"CPCL-MANALI, TAMILNADU",1001.24
January,2024,"BPCL-MUMBAI, MAHARASHTRA",1156.90
January,2024,"BPCL-KOCHI, KERALA",1588.22
January,2024,"NRL-NUMALIGARH, ASSAM",261.67
January,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.01
January,2024,"ONGC TOTAL",1533.49
January,2024,"HPCL-MUMBAI,MAHARASHTRA",853.95
January,2024,"RIL,JAMNAGAR,GUJARAT",2966.81
February,2024,CPCL-TOTAL,1013.93
February,2024,"HPCL-MUMBAI,MAHARASHTRA",679.65
February,2024,"RIL,JAMNAGAR,GUJARAT",2695.09
February,2024,"RIL TOTAL",4887.22
March,2024,"IOCL-KOYALI, GUJARAT",1370.42
March,2024,"BPCL-MUMBAI, MAHARASHTRA",1461.54
March,2024,BPCL-TOTAL,3650.05
March,2024,"MRPL-MANGALORE,KARNATAKA",1522.17
March,2024,HPCL-TOTAL,2970.55
March,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2562.42
April,2022,"IOCL-GUWAHATI,ASSAM",89.86
April,2022,CPCL-TOTAL,904.20
April,2022,BPCL-TOTAL,3300.36
April,2022,"ONGC TOTAL",1487.02
April,2022,HPCL-TOTAL,2569.16
May,2022,"IOCL-MATHURA, UTTAR PRADESH",812.96
May,2022,"IOCL-PANIPAT, HARYANA",1252.50
May,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.78
May,2022,"NEL-VADINAR,GUJARAT",1725.51
June,2022,"IOCL-BARAUNI,BIHAR",559.48
June,2022,"IOCL-PANIPAT, HARYANA",1253.85
June,2022,"IOCL TOTAL",6276.80
June,2022,"BPCL-KOCHI, KERALA",1363.85
June,2022,BORL-BINA,649.82
June,2022,"MRPL-MANGALORE,KARNATAKA",1428.97
June,2022,"ONGC TOTAL",1435.69
June,2022,"RIL TOTAL",5361.90
